,,https://salb.un.org
Belize,blz
Benin,ben,https://salb.un.org/en/data/ben,https://geoportal.un.org/arcgis/sharing/rest/content/items/680740c3222e4e0caaf2e615a82507bb/data
Bhutan,btn
Bolivia (Plurinational State of),bol
Bosnia and Herzegovina,bih
Botswana,bwa
Brazil,bra
Brunei Darussalam,brn
Bulgaria,bgr
Burkina Faso,bfa
Burundi,bdi,https://salb.un.org/en/data/bdi,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Cabo Verde,cpv
Cambodia,khm,https://geoportal.un.org/arcgis/sharing/rest/content/items/29c97a9a59ff43a584159d94c84c865f/data
Cameroon,cmr,https://salb.un.org/en/data/cmr,https://geoportal.un.org/arcgis/sharing/rest/content/items/3a306ba83dc54807942b8dfb43c4611e/data
Canada,can,https://salb.un.org/en/data/can,https://geoportal.un.org/arcgis/sharing/rest/content/items/3b3f32fd6d064e3cab6e3424248a5bec/data
Central African Republic,caf,https://salb.un.org/en/data/caf,https://geoportal.un.org/arcgis/sharing/rest/content/items/518c778a8a3144c49b4e477691ebb149/data
Chad,tcd
Chile,chl
China,chn
Colombia,col
Comoros (the),com,https://salb.un.org/en/data/com
Congo (the),cog,https://salb.un.org/en/data/cog
Cook Islands (the),cok
Costa Rica,cri,https://salb.un.org/en/data/cri,https://geoportal.un.org/arcgis/sharing/rest/content/items/dac4f2b1eb374c4f88cfcb2cfafca8e0/data
Côte d'Ivoire,civ,https://salb.un.org/en/data/civ,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Croatia,hrv
Cuba,cub,https://geoportal.un.org/arcgis/sharing/rest/content/items/4a792ff04492466b8f837f3c79fad56b/data
Cyprus,cyp,https://geoportal.un.org/arcgis/sharing/rest/content/items/8bc8ec8867194e298106aa9d4580959e/data
Czechia,cze
Democratic People's Republic of Korea (the),prk
Democratic Republic of the Congo (the),cod,https://salb.un.org/en/data/cod,https://geoportal.un.org/arcgis/sharing/rest/content/items/53ccd2a327e8402a892be58c6ffa595a/data
Denmark,dnk
Djibouti,dji
,,https://salb.un.org
Afghanistan,afg
Albania,alb
Algeria,dza
Andorra,and
Angola,ago
Antigua and Barbuda,atg
Argentina,arg
Armenia,arm
Australia,aus
Austria,aut
Azerbaijan,aze
Bahamas (the),bhs
Bahrain,bhr
Bangladesh,bgd
Barbados,brb
Belarus,blr
Belgium,bel
Belize,blz
Benin,ben,https://salb.un.org/en/data/ben,https://geoportal.un.org/arcgis/sharing/rest/content/items/680740c3222e4e0caaf2e615a82507bb/data
Bhutan,btn
Bolivia (Plurinational State of),bol
Bosnia and Herzegovina,bih
Botswana,bwa
Brazil,bra
Brunei Darussalam,brn
Bulgaria,bgr
Burkina Faso,bfa
Burundi,bdi,https://salb.un.org/en/data/bdi,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Cabo Verde,cpv
Cambodia,khm,https://geoportal.un.org/arcgis/sharing/rest/content/items/29c97a9a59ff43a584159d94c84c865f/data
Cameroon,cmr,https://salb.un.org/en/data/cmr,https://geoportal.un.org/arcgis/sharing/rest/content/items/3a306ba83dc54807942b8dfb43c4611e/data
Canada,can,https://salb.un.org/en/data/can,https://geoportal.un.org/arcgis/sharing/rest/content/items/3b3f32fd6d064e3cab6e3424248a5bec/data
Central African Republic,caf,https://salb.un.org/en/data/caf,https://geoportal.un.org/arcgis/sharing/rest/content/items/518c778a8a3144c49b4e477691ebb149/data
Chad,tcd
Chile,chl
China,chn
Colombia,col
Comoros (the),com,https://salb.un.org/en/data/com
Congo (the),cog,https://salb.un.org/en/data/cog
Cook Islands (the),cok
Costa Rica,cri,https://salb.un.org/en/data/cri,https://geoportal.un.org/arcgis/sharing/rest/content/items/dac4f2b1eb374c4f88cfcb2cfafca8e0/data
Côte d'Ivoire,civ,https://salb.un.org/en/data/civ,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Croatia,hrv
Cuba,cub,https://geoportal.un.org/arcgis/sharing/rest/content/items/4a792ff04492466b8f837f3c79fad56b/data
Cyprus,cyp,https://geoportal.un.org/arcgis/sharing/rest/content/items/8bc8ec8867194e298106aa9d4580959e/data
Czechia,cze
Democratic People's Republic of Korea (the),prk
Democratic Republic of the Congo (the),cod,https://salb.un.org/en/data/cod,https://geoportal.un.org/arcgis/sharing/rest/content/items/53ccd2a327e8402a892be58c6ffa595a/data
Denmark,dnk
Djibouti,dji
,,https://salb.un.org
Afghanistan,afg
Albania,alb
Algeria,dza
Andorra,and
Angola,ago
Antigua and Barbuda,atg
Argentina,arg
Armenia,arm
Australia,aus
Austria,aut
Azerbaijan,aze
Bahamas (the),bhs
Bahrain,bhr
Bangladesh,bgd
Barbados,brb
Belarus,blr
Belgium,bel
Belize,blz
Benin,ben,https://salb.un.org/en/data/ben,https://geoportal.un.org/arcgis/sharing/rest/content/items/680740c3222e4e0caaf2e615a82507bb/data
Bhutan,btn
Bolivia (Plurinational State of),bol
Bosnia and Herzegovina,bih
Botswana,bwa
Brazil,bra
Brunei Darussalam,brn
Bulgaria,bgr
Burkina Faso,bfa
Burundi,bdi,https://salb.un.org/en/data/bdi,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Cabo Verde,cpv
Cambodia,khm,https://geoportal.un.org/arcgis/sharing/rest/content/items/29c97a9a59ff43a584159d94c84c865f/data
Cameroon,cmr,https://salb.un.org/en/data/cmr,https://geoportal.un.org/arcgis/sharing/rest/content/items/3a306ba83dc54807942b8dfb43c4611e/data
Canada,can,https://salb.un.org/en/data/can,https://geoportal.un.org/arcgis/sharing/rest/content/items/3b3f32fd6d064e3cab6e3424248a5bec/data
Central African Republic,caf,https://salb.un.org/en/data/caf,https://geoportal.un.org/arcgis/sharing/rest/content/items/518c778a8a3144c49b4e477691ebb149/data
Chad,tcd
Chile,chl
China,chn
Colombia,col
Comoros (the),com,https://salb.un.org/en/data/com
Congo (the),cog,https://salb.un.org/en/data/cog
Cook Islands (the),cok
Costa Rica,cri,https://salb.un.org/en/data/cri,https://geoportal.un.org/arcgis/sharing/rest/content/items/dac4f2b1eb374c4f88cfcb2cfafca8e0/data
Côte d'Ivoire,civ,https://salb.un.org/en/data/civ,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Croatia,hrv
Cuba,cub,https://geoportal.un.org/arcgis/sharing/rest/content/items/4a792ff04492466b8f837f3c79fad56b/data
Cyprus,cyp,https://geoportal.un.org/arcgis/sharing/rest/content/items/8bc8ec8867194e298106aa9d4580959e/data
Czechia,cze
Democratic People's Republic of Korea (the),prk
Democratic Republic of the Congo (the),cod,https://salb.un.org/en/data/cod,https://geoportal.un.org/arcgis/sharing/rest/content/items/53ccd2a327e8402a892be58c6ffa595a/data
Denmark,dnk
Djibouti,dji
